"","species_name","plant_area","number","percent"
"1","ABIES","B",49,37.1212121212121
"2","ABIES","C",1,0.757575757575758
"3","ABIES","N",35,26.5151515151515
"4","ABIES","V",47,35.6060606060606
"5","ACERIFOLIA   X","B",135,7.8397212543554
"6","ACERIFOLIA   X","C",115,6.67828106852497
"7","ACERIFOLIA   X","G",12,0.696864111498258
"8","ACERIFOLIA   X","N",132,7.66550522648084
"9","ACERIFOLIA   X","V",1328,77.1196283391405
"10","ACUMINATA","V",7,100
"11","ACUTISSIMA","B",27,5.15267175572519
"12","ACUTISSIMA","C",50,9.54198473282443
"13","ACUTISSIMA","G",8,1.52671755725191
"14","ACUTISSIMA","N",51,9.73282442748092
"15","ACUTISSIMA","V",388,74.0458015267176
"16","AILANTHIFOLIA","B",1,20
"17","AILANTHIFOLIA","V",4,80
"18","ALBA","B",9,37.5
"19","ALBA","N",7,29.1666666666667
"20","ALBA","V",8,33.3333333333333
"21","ALBA-SINENSIS","B",1,33.3333333333333
"22","ALBA-SINENSIS","V",2,66.6666666666667
"23","ALNIFOLIA","B",14,5.10948905109489
"24","ALNIFOLIA","C",11,4.01459854014599
"25","ALNIFOLIA","G",1,0.364963503649635
"26","ALNIFOLIA","N",26,9.48905109489051
"27","ALNIFOLIA","V",222,81.021897810219
"28","ALPINUM","B",1,100
"29","ALTISSIMA","B",1,33.3333333333333
"30","ALTISSIMA","V",2,66.6666666666667
"31","AMERICANA","B",253,4.61847389558233
"32","AMERICANA","C",122,2.22709017889741
"33","AMERICANA","G",42,0.766703176341731
"34","AMERICANA","N",472,8.6162833150785
"35","AMERICANA","V",4589,83.7714494341
"36","AMURENSE","N",2,40
"37","AMURENSE","V",3,60
"38","ANAGYROIDES","B",2,15.3846153846154
"39","ANAGYROIDES","V",11,84.6153846153846
"40","ANGUSTIFOLIA","V",9,100
"41","ANTARTICA","B",6,23.0769230769231
"42","ANTARTICA","N",4,15.3846153846154
"43","ANTARTICA","V",16,61.5384615384615
"44","AQUIFOLIUM","B",37,24.3421052631579
"45","AQUIFOLIUM","G",1,0.657894736842105
"46","AQUIFOLIUM","N",32,21.0526315789474
"47","AQUIFOLIUM","V",82,53.9473684210526
"48","ARAUCANA","B",4,40
"49","ARAUCANA","N",1,10
"50","ARAUCANA","V",5,50
"51","ARBOREUM","V",2,100
"52","ARGUTUM","B",3,50
"53","ARGUTUM","V",3,50
"54","ARIA","B",20,3.3167495854063
"55","ARIA","C",3,0.497512437810945
"56","ARIA","N",123,20.3980099502488
"57","ARIA","V",457,75.787728026534
"58","ARMENIACA","V",2,100
"59","ARNOLDIANA X","C",1,5.88235294117647
"60","ARNOLDIANA X","V",16,94.1176470588235
"61","ASCENDENS","N",2,40
"62","ASCENDENS","V",3,60
"63","ATLANTICA","B",14,73.6842105263158
"64","ATLANTICA","N",2,10.5263157894737
"65","ATLANTICA","V",3,15.7894736842105
"66","AUCUPARIA","B",116,18.9852700490998
"67","AUCUPARIA","C",14,2.29132569558101
"68","AUCUPARIA","N",66,10.8019639934534
"69","AUCUPARIA","V",415,67.9214402618658
"70","AVELLANA","B",3,12
"71","AVELLANA","N",4,16
"72","AVELLANA","V",18,72
"73","AVIUM","B",35,5.40123456790123
"74","AVIUM","C",24,3.7037037037037
"75","AVIUM","N",73,11.2654320987654
"76","AVIUM","V",516,79.6296296296296
"77","BABYLONICA","B",9,20.9302325581395
"78","BABYLONICA","G",1,2.32558139534884
"79","BABYLONICA","N",24,55.8139534883721
"80","BABYLONICA","V",9,20.9302325581395
"81","BACCATA","B",10,10.989010989011
"82","BACCATA","C",1,1.0989010989011
"83","BACCATA","G",1,1.0989010989011
"84","BACCATA","N",18,19.7802197802198
"85","BACCATA","V",61,67.032967032967
"86","BALSAMEA","B",4,44.4444444444444
